CÓDIGOS,TÍTULOS CONTÁBEIS,ATRIBUTOS,E,conta
1.3.4.10.99.60-7,(-) Perda Esperada Associada ao Risco de Crédito,,-,1341099607
1.3.4.10.99.70-0,(+/-) Ajuste de Hedge de Valor Justo,,-,1341099700
1.3.4.10.99.80-3,(+/-) Ajuste a Valor Justo,,-,1341099803
1.3.4.20.00.00-4,BANCO CENTRAL - RESERVAS COMPULSÓRIAS EM TÍTULOS,,130,1342000004
1.3.4.20.01.00-3,Títulos Públicos Federais,,-,1342001003
1.3.4.20.01.10-6,Saldo Contábil Bruto,,-,1342001106
1.3.4.20.01.40-5,(-) Perda Incorrida Associada ao Risco de Crédito,,-,1342001405
1.3.4.20.01.70-4,(+/-) Ajuste de Hedge de Valor Justo,,-,1342001704
1.3.4.20.01.80-7,(+/-) Ajuste a Valor Justo,,-,1342001807
1.3.4.20.99.00-8,Outros,,-,1342099008
1.3.4.20.99.10-1,Saldo Contábil Bruto,,-,1342099101
1.3.4.20.99.40-0,(-) Perda Incorrida Associada ao Risco de Crédito,,-,1342099400
1.3.4.20.99.60-6,(-) Perda Esperada Associada ao Risco de Crédito,,-,1342099606
1.3.4.20.99.70-9,(+/-) Ajuste de Hedge de Valor Justo,,-,1342099709
1.3.4.20.99.80-2,(+/-) Ajuste a Valor Justo,,-,1342099802
1.3.4.30.00.00-3,BANCO CENTRAL - TÍTULOS VINCULADOS A OPERAÇÕES DE REDESCONTO,,130,1343000003
1.3.4.30.01.00-2,Títulos Públicos Federais,,-,1343001002
1.3.4.30.01.10-5,Saldo Contábil Bruto,,-,1343001105
1.3.4.30.01.40-4,(-) Perda Incorrida Associada ao Risco de Crédito,,-,1343001404
1.3.4.30.01.70-3,(+/-) Ajuste de Hedge de Valor Justo,,-,1343001703
1.3.4.30.01.80-6,(+/-) Ajuste a Valor Justo,,-,1343001806
1.3.4.30.99.00-7,Outros,,-,1343099007
1.3.4.30.99.10-0,Saldo Contábil Bruto,,-,1343099100
1.3.4.30.99.40-9,(-) Perda Incorrida Associada ao Risco de Crédito,,-,1343099409
1.3.4.30.99.60-5,(-) Perda Esperada Associada ao Risco de Crédito,,-,1343099605
1.3.4.30.99.70-8,(+/-) Ajuste de Hedge de Valor Justo,,-,1343099708
1.3.4.30.99.80-1,(+/-) Ajuste a Valor Justo,,-,1343099801
